Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90
1537,Saša Lukić,rs SRB,MF,Fulham,eng Premier League,26.0,1996.0,24,13,1122,12.5,1,0,1,1,0,0,3,0,1.6,1.6,0.8,2.4,12.0,43.0,27.0,0.08,0.0,0.08,0.08,0.08,0.13,0.06,0.19,0.13,0.19
1538,Karlo Lulić,hr CRO,MF,Frosinone,it Serie A,27.0,1996.0,1,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1539,Andriy Lunin,ua UKR,GK,Real Madrid,es La Liga,24.0,1999.0,21,21,1890,21.0,0,0,0,0,0,0,2,0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01
1540,Sebastiano Luperto,it ITA,DF,Empoli,it Serie A,26.0,1996.0,38,38,3406,37.8,1,1,2,1,0,0,4,0,1.7,1.7,1.0,2.7,13.0,100.0,13.0,0.03,0.03,0.05,0.03,0.05,0.04,0.03,0.07,0.04,0.07
1541,Mateus Lusuardi,br BRA,DF,Frosinone,it Serie A,19.0,2004.0,4,3,219,2.4,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03
1542,Andreas Luthe,de GER,GK,Bochum,de Bundesliga,36.0,1987.0,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544,Charalambos Lykogiannis,gr GRE,DF,Bologna,it Serie A,29.0,1993.0,22,10,904,10.0,2,1,3,2,0,0,2,0,1.3,1.3,1.6,2.9,36.0,35.0,41.0,0.2,0.1,0.3,0.2,0.3,0.13,0.16,0.29,0.13,0.29
1546,Joshua M'Bahia,ci CIV,MF,Clermont Foot,fr Ligue 1,18.0,2005.0,1,0,14,0.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.21,0.0,0.21
1547,Othmane Maamma,fr FRA,FW,Montpellier,fr Ligue 1,17.0,2005.0,2,1,88,1.0,1,0,1,1,0,0,0,0,0.3,0.3,0.5,0.7,7.0,2.0,3.0,1.02,0.0,1.02,1.02,1.02,0.27,0.47,0.74,0.27,0.74
1548,Ian Maatsen,nl NED,"FW,MF",Chelsea,eng Premier League,21.0,2002.0,12,1,209,2.3,0,0,0,0,0,0,1,0,0.8,0.8,0.1,0.9,9.0,8.0,15.0,0.0,0.0,0.0,0.0,0.0,0.35,0.04,0.39,0.35,0.39
1549,Ian Maatsen,nl NED,DF,Dortmund,de Bundesliga,21.0,2002.0,16,15,1264,14.0,2,2,4,2,0,0,5,0,0.9,0.9,1.4,2.3,41.0,80.0,49.0,0.14,0.14,0.28,0.14,0.28,0.07,0.1,0.17,0.07,0.17
1551,Deiver Machado,co COL,DF,Lens,fr Ligue 1,29.0,1993.0,19,13,1124,12.5,4,0,4,4,0,0,4,0,1.7,1.7,1.3,2.9,22.0,26.0,74.0,0.32,0.0,0.32,0.32,0.32,0.13,0.1,0.24,0.13,0.24
1555,Pablo Maffeo,es ESP,DF,Mallorca,es La Liga,26.0,1997.0,22,17,1454,16.2,1,2,3,1,0,0,3,1,0.8,0.8,0.9,1.7,38.0,41.0,68.0,0.06,0.12,0.19,0.06,0.19,0.05,0.05,0.1,0.05,0.1
1556,Gabriel Magalhães,br BRA,DF,Arsenal,eng Premier League,25.0,1997.0,36,34,3044,33.8,4,0,4,4,0,0,4,0,4.3,4.3,0.7,5.0,13.0,117.0,8.0,0.12,0.0,0.12,0.12,0.12,0.13,0.02,0.15,0.13,0.15
1557,Soungoutou Magassa,fr FRA,"DF,MF",Monaco,fr Ligue 1,19.0,2003.0,21,15,1346,15.0,0,0,0,0,0,0,7,0,0.6,0.6,0.1,0.8,7.0,92.0,13.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05
1558,Giulio Maggiore,it ITA,MF,Salernitana,it Serie A,25.0,1998.0,27,20,1800,20.0,4,2,6,4,0,0,9,1,2.3,2.3,1.1,3.4,8.0,64.0,25.0,0.2,0.1,0.3,0.2,0.3,0.11,0.06,0.17,0.11,0.17
1559,Matej Maglica,hr CRO,DF,Darmstadt 98,de Bundesliga,24.0,1998.0,26,21,1698,18.9,1,0,1,1,0,0,7,2,0.6,0.6,0.7,1.2,11.0,62.0,5.0,0.05,0.0,0.05,0.05,0.05,0.03,0.03,0.06,0.03,0.06
1560,Giangiacomo Magnani,it ITA,DF,Hellas Verona,it Serie A,27.0,1995.0,33,27,2444,27.2,0,0,0,0,0,0,6,0,0.5,0.5,0.2,0.8,15.0,79.0,10.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03
1561,Hugo Magnetti,fr FRA,MF,Brest,fr Ligue 1,25.0,1998.0,33,30,2340,26.0,2,0,2,2,0,0,6,0,2.4,2.4,1.8,4.3,36.0,101.0,61.0,0.08,0.0,0.08,0.08,0.08,0.09,0.07,0.16,0.09,0.16
